miRNA	chr	miR_start	miR_end	SNP_id	lost_num	gain_num
hsa-miR-4691-3p	chr11	67801416	67801438	rs181585480	2034	1815
hsa-miR-548al	chr11	74110346	74110367	rs515924	398	965
hsa-miR-3166	chr11	87909729	87909751	rs183676851	2175	1292
hsa-miR-4490	chr11	90288974	90288953	rs112937431	1802	146
hsa-miR-1304-5p	chr11	93466911	93466890	rs79759099	1645	2719
hsa-miR-1304-5p	chr11	93466911	93466890	rs76857625	1645	2719
hsa-miR-4301	chr11	113320800	113320781	rs184176277	1157	1147
hsa-miR-4302	chr12	26027002	26026985	rs141960509	2934	1390
hsa-miR-1228-3p	chr12	57588338	57588357	rs201449241	2193	511
hsa-miR-1302	chr12	113132907	113132887	rs74647838	1882	1179
hsa-miR-4472	chr12	116866116	116866099	rs202127912	3260	2026
hsa-miR-4472	chr12	116866116	116866099	rs57833593	3260	2026
hsa-miR-4472	chr12	116866116	116866099	rs11068023	3260	2026
hsa-miR-1178-5p	chr12	120151500	120151483	rs7311975	2077	414
hsa-miR-4499	chr13	21007985	21007969	rs201540123	2525	1035
hsa-miR-4305	chr13	40238262	40238245	rs138201016	1371	4717
hsa-miR-4305	chr13	40238262	40238245	rs149597993	1371	4717
hsa-miR-4305	chr13	40238262	40238245	rs4636784	1371	4717
hsa-miR-759	chr13	53384208	53384229	rs144233096	2453	1440
hsa-miR-5007-5p	chr13	55748609	55748630	rs191336981	1635	1649
hsa-miR-5007-3p	chr13	55748644	55748665	rs184597603	567	1704
hsa-miR-5007-3p	chr13	55748644	55748665	rs12865044	567	1704
hsa-miR-6717-5p	chr14	21491535	21491514	rs150596480	627	3801
hsa-miR-6717-5p	chr14	21491535	21491514	rs117650137	627	3801
hsa-miR-4707-3p	chr14	23426187	23426166	rs2273626	839	2202
hsa-miR-4706	chr14	65511415	65511439	rs2296320	709	1453
hsa-miR-4706	chr14	65511415	65511439	rs72728267	709	1453
hsa-miR-2392	chr14	101280888	101280907	rs118055959	1333	1975
hsa-miR-431-3p	chr14	101347406	101347427	rs12884005	402	337
hsa-miR-432-3p	chr14	101350881	101350901	rs201401049	2639	255
hsa-miR-136-3p	chr14	101351087	101351108	rs147448304	422	565
hsa-miR-379-5p	chr14	101488408	101488428	rs61991156	722	1123
hsa-miR-411-3p	chr14	101489712	101489733	rs111835650	1726	228
hsa-miR-382-5p	chr14	101520653	101520674	rs192719529	1310	1694
hsa-miR-3118	chr15	22049317	22049339	rs148391979	2176	2976
hsa-miR-1268a	chr15	22513276	22513259	rs28599926	811	1671
hsa-miR-627	chr15	42491849	42491828	rs2620381	1440	2056
hsa-miR-4311	chr15	66332581	66332598	rs142080198	2330	1347
hsa-miR-4513	chr15	75081085	75081064	rs2168518	752	865
hsa-miR-1276	chr15	86313798	86313779	rs34381260	1430	2210
hsa-miR-548ap-5p	chr15	86368886	86368904	rs186097449	817	558
hsa-miR-548ap-3p	chr15	86368923	86368941	rs150751643	511	307
hsa-miR-5094	chr15	90393943	90393922	rs71464494	860	1100
hsa-miR-3175	chr15	93447638	93447659	rs72647784	1039	1006
hsa-miR-662	chr16	820243	820263	rs9745376	748	2392
hsa-miR-3677-3p	chr16	2320752	2320773	rs138871259	508	1774
hsa-miR-940	chr16	2321807	2321827	rs149527765	3671	2121
hsa-miR-4517	chr16	28969908	28969932	rs151214931	1802	1277
hsa-miR-4517	chr16	28969908	28969932	rs689516	1802	1277
hsa-miR-1269b	chr17	12820651	12820630	rs7210937	1530	2716
hsa-miR-4731-3p	chr17	15154972	15154951	rs66507245	1795	1919
hsa-miR-4723-3p	chr17	26687735	26687756	rs202134828	2814	864
hsa-miR-2909	chr17	35391045	35391065	rs187707102	958	848
hsa-miR-4315	chr17	43552791	43552774	rs143523766	546	4670
hsa-miR-4315	chr17	43552791	43552774	rs147167801	546	4670
hsa-miR-5089-3p	chr17	45050435	45050457	rs111444930	1583	817
hsa-miR-4737	chr17	58120457	58120438	rs111365058	701	310
hsa-miR-548aa	chr17	65467659	65467683	rs149172942	1209	605
hsa-miR-3615	chr17	72744802	72744822	rs112977728	769	465
hsa-miR-4738-3p	chr17	73780632	73780611	rs144216044	1806	1370
hsa-miR-4525	chr17	80626177	80626157	rs34711227	516	932
hsa-miR-3156-3p	chr18	14830214	14830234	rs113478966	2434	3743
hsa-miR-3156-3p	chr18	14830214	14830234	rs112428304	2434	3743
hsa-miR-4741	chr18	20513370	20513392	rs7227168	2467	3101
hsa-miR-4741	chr18	20513370	20513392	rs11543178	2467	3101
hsa-miR-4741	chr18	20513370	20513392	rs115479920	2467	3101
hsa-miR-4743-5p	chr18	46196973	46196995	rs141766192	235	3198
hsa-miR-4529-3p	chr18	53146501	53146521	rs111734691	1271	1460
hsa-miR-122-3p	chr18	56118356	56118377	rs41292412	460	1836
hsa-miR-1227-5p	chr19	2234148	2234132	rs112440628	3072	387
hsa-miR-637	chr19	3961450	3961427	rs200224173	1956	366
hsa-miR-4747-3p	chr19	4932731	4932752	rs77046863	501	2689
hsa-miR-5589-5p	chr19	10149030	10149050	rs202101735	1937	949
hsa-miR-5589-3p	chr19	10149067	10149089	rs116796353	1989	878
hsa-miR-4322	chr19	10341131	10341151	rs114399468	1898	1310
hsa-miR-1238-3p	chr19	10662859	10662878	rs200136327	330	1382
hsa-miR-199a-3p	chr19	10928126	10928105	rs183664554	1064	917
hsa-miR-6515-3p	chr19	13051335	13051354	rs75453089	1580	1142
hsa-miR-642a-5p	chr19	46178201	46178222	rs78902025	3297	501
hsa-miR-642b-3p	chr19	46178220	46178199	rs111664333	1326	1237
hsa-miR-642a-3p	chr19	46178236	46178257	rs200255173	1193	1652
hsa-miR-4749-3p	chr19	50357889	50357908	rs148982635	2206	3144
hsa-miR-4749-3p	chr19	50357889	50357908	rs200056596	2206	3144
hsa-miR-125a-5p	chr19	52196521	52196544	rs12975333	1796	922
hsa-miR-525-3p	chr19	54200838	54200859	rs190453265	404	1977
hsa-miR-523-3p	chr19	54201691	54201713	rs191624794	149	1064
hsa-miR-523-3p	chr19	54201691	54201713	rs201232958	149	1064
hsa-miR-520d-3p	chr19	54223403	54223424	rs201279305	2800	1808
hsa-miR-518e-5p	chr19	54233107	54233128	rs74177813	1919	3998
hsa-miR-518e-5p	chr19	54233107	54233128	rs34416818	1919	3998
hsa-miR-518e-5p	chr19	54233107	54233128	rs74177814	1919	3998
hsa-miR-518a-3p	chr19	54234310	54234331	rs200532946	358	5012
hsa-miR-518d-3p	chr19	54238183	54238203	rs73602910	359	2598
hsa-miR-518a-3p	chr19	54242639	54242660	rs199969520	358	5012
hsa-miR-1292-3p	chr20	2633465	2633484	rs73576045	571	626
hsa-miR-499a-3p	chr20	33578248	33578269	rs3746444	2088	2120
hsa-miR-499a-3p	chr20	33578248	33578269	rs150018420	2088	2120
hsa-miR-645	chr20	49202383	49202401	rs201355281	1408	988
hsa-miR-4756-3p	chr20	52684978	52684957	rs209426	1224	2216
hsa-miR-4532	chr20	56470455	56470471	rs113808830	1402	4002
hsa-miR-4532	chr20	56470455	56470471	rs60432575	1402	4002
hsa-miR-124-3p	chr20	61809904	61809923	rs34059726	2502	1648
hsa-miR-3196	chr20	61870140	61870157	rs113297757	1422	739
hsa-miR-941	chr20	62550848	62550870	rs113283070	1045	2909
hsa-miR-941	chr20	62551155	62551177	rs113672516	1045	2909
hsa-miR-3118	chr21	15017127	15017105	rs4046830	2176	2976
hsa-miR-155-3p	chr21	26946334	26946355	rs200351615	816	260
hsa-miR-4759	chr21	28326284	28326304	rs140724460	1163	1079
hsa-miR-5692b	chr21	44371115	44371096	rs451887	314	407
hsa-miR-3618	chr22	20073320	20073341	rs12159555	1008	1332
hsa-miR-3199	chr22	28316591	28316569	rs200986762	1627	1766
hsa-miR-5739	chr22	28855913	28855932	rs185552888	651	367
hsa-miR-33a-3p	chr22	42296993	42297014	rs77809319	795	1246
hsa-miR-221-5p	chrX	45605670	45605649	rs113054794	2475	1306
hsa-miR-188-3p	chrX	49768162	49768182	rs191840972	2113	1350
hsa-miR-501-3p	chrX	49774380	49774401	rs149912461	1344	1205
hsa-miR-660-3p	chrX	49777900	49777920	rs180785970	1971	1408
hsa-miR-450a-3p	chrX	133674580	133674559	rs185256782	2591	209
hsa-miR-450a-5p	chrX	133674615	133674594	rs141784874	282	45
hsa-miR-505-3p	chrX	139006340	139006319	rs143213653	1122	1282
hsa-miR-664b-3p	chrX	153996910	153996931	rs112159031	521	314
hsa-miR-3690	chrY	1362820	1362842	rs183044496	1605	1182
